1633837200000,3536.88000000,3538.66000000,3534.19000000,3534.83000000,1203.34670000,1633837499999,4255900.87694700,4475,602.81540000,2131977.43495900,0
1633837500000,3534.83000000,3537.61000000,3522.35000000,3524.46000000,2102.27020000,1633837799999,7421065.75148300,7052,959.53440000,3387133.57872800,0
1633837800000,3524.46000000,3528.96000000,3522.96000000,3528.04000000,1087.96000000,1633838099999,3835235.66717100,3700,556.00570000,1959992.74575100,0
1633838100000,3528.04000000,3543.01000000,3528.03000000,3530.53000000,4916.28840000,1633838399999,17394665.20225300,9267,3025.78730000,10706476.79522300,0
1633838400000,3530.52000000,3539.83000000,3524.99000000,3536.15000000,2754.50410000,1633838699999,9729054.12259000,7876,939.18750000,3318701.33564800,0
1633838700000,3536.17000000,3542.62000000,3535.00000000,3537.68000000,1879.24590000,1633838999999,6650766.12265800,6307,906.34970000,3207636.19355900,0
1633839000000,3537.68000000,3540.52000000,3536.02000000,3537.18000000,1550.27110000,1633839299999,5485160.97781600,5429,825.07210000,2919350.30523900,0
1633839300000,3537.18000000,3538.57000000,3532.11000000,3532.81000000,1890.39370000,1633839599999,6683521.82689400,6947,873.52170000,3088486.60560200,0
1633839600000,3532.80000000,3535.79000000,3530.01000000,3532.09000000,1710.10610000,1633839899999,6040784.65975900,5643,940.78100000,3323317.06319100,0
1633839900000,3532.09000000,3537.43000000,3532.00000000,3536.66000000,1059.85100000,1633840199999,3746253.01694400,4049,516.33400000,1825082.76389200,0
1633840200000,3536.66000000,3536.95000000,3530.00000000,3531.80000000,1809.56180000,1633840499999,6394300.39493700,5886,760.15050000,2686419.25403200,0
1633840500000,3531.81000000,3532.96000000,3500.62000000,3518.07000000,8420.30680000,1633840799999,29591100.89727600,13063,2667.53500000,9379305.10311700,0
1633840800000,3518.07000000,3528.41000000,3512.96000000,3527.08000000,1992.18710000,1633841099999,7011182.86174200,5641,1122.11450000,3949121.26182300,0
1633841100000,3527.07000000,3554.40000000,3526.59000000,3552.22000000,3852.55450000,1633841399999,13651160.96237500,10534,1891.70790000,6703205.43891400,0
1633841400000,3552.21000000,3560.00000000,3546.37000000,3559.99000000,3202.22310000,1633841699999,11377195.23574700,8895,1414.89100000,5027283.68597200,0
1633841700000,3560.00000000,3577.51000000,3559.05000000,3571.90000000,3980.08220000,1633841999999,14201864.55018600,11065,2085.43170000,7441438.71667500,0
1633842000000,3571.90000000,3582.23000000,3565.23000000,3566.27000000,3403.94610000,1633842299999,12166215.72637100,8683,1579.47740000,5644917.91790900,0
1633842300000,3566.26000000,3574.43000000,3565.64000000,3567.75000000,1724.12850000,1633842599999,6154204.19042600,5409,849.79250000,3033310.69566100,0
1633842600000,3567.75000000,3574.19000000,3567.00000000,3572.11000000,1856.04080000,1633842899999,6625981.01618300,5791,980.37930000,3499586.50626100,0
1633842900000,3572.11000000,3572.96000000,3563.32000000,3563.60000000,1701.76680000,1633843199999,6071252.96822800,5805,776.77040000,2771335.33842100,0
1633843200000,3563.61000000,3566.90000000,3555.11000000,3558.58000000,2883.86000000,1633843499999,10269079.39010400,10102,1431.39200000,5097351.73427700,0
1633843500000,3558.57000000,3564.27000000,3556.65000000,3562.11000000,1994.70820000,1633843799999,7100954.15183400,5613,1185.29580000,4219624.19278100,0
1633843800000,3562.10000000,3565.76000000,3555.59000000,3558.41000000,1636.16860000,1633844099999,5824318.37327500,5590,832.65850000,2964130.79734100,0
1633844100000,3558.40000000,3564.81000000,3557.33000000,3564.81000000,1933.15620000,1633844399999,6884020.86440300,6432,856.70440000,3050694.77016700,0
1633844400000,3564.62000000,3568.23000000,3561.36000000,3562.95000000,1339.83650000,1633844699999,4776181.06507700,3937,569.40400000,2029802.09131400,0
1633844700000,3562.95000000,3564.54000000,3559.64000000,3561.84000000,1525.55370000,1633844999999,5433993.74457400,5469,690.80020000,2460654.29927500,0
1633845000000,3562.06000000,3571.89000000,3560.96000000,3570.83000000,1606.47890000,1633845299999,5730722.08289400,5067,925.94880000,3302705.80091300,0
1633845300000,3570.83000000,3571.13000000,3563.00000000,3565.96000000,1235.86690000,1633845599999,4407971.57972300,4728,576.97560000,2057892.16785600,0
1633845600000,3566.07000000,3576.26000000,3561.59000000,3574.44000000,1777.36070000,1633845899999,6344347.19653900,5904,1045.92370000,3733894.50583900,0
